"ID","Gemeinde_fr","Tabelle_fr","Staerkste_Partei"
2079,"Grangettes (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r156tab_r2#547d34tab_r3$td£$b£37.5%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£PLR$/td£tab_r133tab_r2#6268AFtab_r3$td£$b£22.0%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£PS$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.6%$/b£$/td£§+7.8$/td£$/tr£$tr£$td£Centre$/td£tab_r117tab_r2#f39f5etab_r3$td£$b£11.4%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.9%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.2%$/b£$/td£§+1.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£69$/b£$br£Taux de participation: $b£51.8%$/b£ (+2.9%)","SVP"
2086,"Massonnens (FR)","Résultats non encore disponibles.","no_data"
2087,"Mézières (FR)","Résultats non encore disponibles.","no_data"
2089,"Montet (Glâne) (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r145tab_r2#547d34tab_r3$td£$b£30.3%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PLR$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£16.6%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PS$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.6%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£Centre$/td£tab_r123tab_r2#f39f5etab_r3$td£$b£15.3%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.5%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.3%$/b£$/td£§-2.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£119$/b£$br£Taux de participation: $b£36.4%$/b£ (+2.3%)","SVP"
2096,"Romont (FR)","Résultats non encore disponibles.","no_data"
2097,"Rue (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.8%$/b£$/td£§+8.6$/td£$/tr£$tr£$td£Centre$/td£tab_r126tab_r2#f39f5etab_r3$td£$b£17.6%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PS$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.7%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r121tab_r2#26b300tab_r3$td£$b£13.7%$/b£$/td£§+2.7$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.4%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.2%$/b£$/td£§-2.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£440$/b£$br£Taux de participation: $b£43.6%$/b£ (+2.0%)","SVP"
2099,"Siviriez (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.6%$/b£$/td£§+3.8$/td£$/tr£$tr£$td£Centre$/td£tab_r129tab_r2#f39f5etab_r3$td£$b£19.2%$/b£$/td£§+3.9$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£17.9%$/b£$/td£§-3.4$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.2%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.2%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.2%$/b£$/td£§+0.1$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£745$/b£$br£Taux de participation: $b£46.5%$/b£ (+3.9%)","SVP"
2102,"Ursy (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.5%$/b£$/td£§+7.8$/td£$/tr£$tr£$td£PS$/td£tab_r129tab_r2#ea546ftab_r3$td£$b£19.2%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£Centre$/td£tab_r125tab_r2#f39f5etab_r3$td£$b£17.0%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.7%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.8%$/b£$/td£§-2.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£871$/b£$br£Taux de participation: $b£40.9%$/b£ (+6.4%)","SVP"
2113,"Vuisternens-devant-Romont (FR)","Résultats non encore disponibles.","no_data"
2114,"Villorsonnens (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r163tab_r2#547d34tab_r3$td£$b£42.2%$/b£$/td£§+10.1$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.5%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£Centre$/td£tab_r120tab_r2#f39f5etab_r3$td£$b£13.3%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.6%$/b£$/td£§-3.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r116tab_r2#26b300tab_r3$td£$b£10.6%$/b£$/td£§+0.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£496$/b£$br£Taux de participation: $b£47.0%$/b£ (+6.2%)","SVP"
2115,"Torny (FR)","tab_h_fr$tr£$td£PLR$/td£tab_r145tab_r2#6268AFtab_r3$td£$b£30.1%$/b£$/td£§+14.0$/td£$/tr£$tr£$td£UDC$/td£tab_r140tab_r2#547d34tab_r3$td£$b£26.6%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£Centre$/td£tab_r123tab_r2#f39f5etab_r3$td£$b£15.3%$/b£$/td£§-7.6$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£11.8%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r116tab_r2#26b300tab_r3$td£$b£10.4%$/b£$/td£§+0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£385$/b£$br£Taux de participation: $b£54.3%$/b£ (+12.2%)","FDP"
2117,"Villaz (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r145tab_r2#547d34tab_r3$td£$b£30.3%$/b£$/td£§+7.3$/td£$/tr£$tr£$td£PS$/td£tab_r131tab_r2#ea546ftab_r3$td£$b£20.9%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£Centre$/td£tab_r128tab_r2#f39f5etab_r3$td£$b£18.6%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£15.9%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.6%$/b£$/td£§-1.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£736$/b£$br£Taux de participation: $b£51.1%$/b£ (+5.5%)","SVP"
2121,"Haut-Intyamon (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r143tab_r2#547d34tab_r3$td£$b£28.7%$/b£$/td£§+6.3$/td£$/tr£$tr£$td£Centre$/td£tab_r140tab_r2#f39f5etab_r3$td£$b£26.7%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£17.8%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r123tab_r2#6268AFtab_r3$td£$b£15.1%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.5%$/b£$/td£§-3.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£471$/b£$br£Taux de participation: $b£44.6%$/b£ (+1.0%)","SVP"
2122,"Pont-en-Ogoz (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r143tab_r2#547d34tab_r3$td£$b£28.9%$/b£$/td£§+11.9$/td£$/tr£$tr£$td£PLR$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£20.9%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£PS$/td£tab_r129tab_r2#ea546ftab_r3$td£$b£19.2%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£Centre$/td£tab_r126tab_r2#f39f5etab_r3$td£$b£17.5%$/b£$/td£§+2.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r113tab_r2#26b300tab_r3$td£$b£9.0%$/b£$/td£§-3.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£626$/b£$br£Taux de participation: $b£46.2%$/b£ (+1.5%)","SVP"
2123,"Botterens (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.5%$/b£$/td£§+12.7$/td£$/tr£$tr£$td£Centre$/td£tab_r128tab_r2#f39f5etab_r3$td£$b£18.7%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.5%$/b£$/td£§-7.1$/td£$/tr£$tr£$td£PLR$/td£tab_r118tab_r2#6268AFtab_r3$td£$b£12.2%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.3%$/b£$/td£§-2.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£210$/b£$br£Taux de participation: $b£45.7%$/b£ (+3.2%)","SVP"
2124,"Broc (FR)","Résultats non encore disponibles.","no_data"
2125,"Bulle (FR)","Résultats non encore disponibles.","no_data"
2128,"Châtel-sur-Montsalvens (FR)","Résultats non encore disponibles.","no_data"
2129,"Corbières (FR)","Résultats non encore disponibles.","no_data"
2130,"Crésuz (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.9%$/b£$/td£§+14.2$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£18.0%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£Centre$/td£tab_r125tab_r2#f39f5etab_r3$td£$b£16.7%$/b£$/td£§-6.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r118tab_r2#26b300tab_r3$td£$b£12.1%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.2%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.4%$/b£$/td£§+0.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£166$/b£$br£Taux de participation: $b£55.6%$/b£ (+0.5%)","SVP"
2131,"Echarlens (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r139tab_r2#547d34tab_r3$td£$b£25.8%$/b£$/td£§+11.5$/td£$/tr£$tr£$td£PLR$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£20.9%$/b£$/td£§-8.7$/td£$/tr£$tr£$td£Centre$/td£tab_r130tab_r2#f39f5etab_r3$td£$b£19.8%$/b£$/td£§+4.3$/td£$/tr£$tr£$td£PS$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.2%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r118tab_r2#26b300tab_r3$td£$b£11.8%$/b£$/td£§+0.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£301$/b£$br£Taux de participation: $b£51.1%$/b£ (+5.5%)","SVP"
2134,"Grandvillard (FR)","Résultats non encore disponibles.","no_data"
2135,"Gruyères (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r136tab_r2#547d34tab_r3$td£$b£23.8%$/b£$/td£§+7.0$/td£$/tr£$tr£$td£PS$/td£tab_r135tab_r2#ea546ftab_r3$td£$b£23.3%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£Centre$/td£tab_r133tab_r2#f39f5etab_r3$td£$b£21.7%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£PLR$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£16.6%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r115tab_r2#26b300tab_r3$td£$b£10.1%$/b£$/td£§-1.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£586$/b£$br£Taux de participation: $b£44.1%$/b£ (-0.7%)","SVP"
2137,"Hauteville (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r145tab_r2#547d34tab_r3$td£$b£29.7%$/b£$/td£§+11.8$/td£$/tr£$tr£$td£PLR$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£19.9%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£Centre$/td£tab_r127tab_r2#f39f5etab_r3$td£$b£18.2%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.6%$/b£$/td£§-2.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r115tab_r2#26b300tab_r3$td£$b£10.0%$/b£$/td£§-0.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£188$/b£$br£Taux de participation: $b£40.9%$/b£ (-)","SVP"
2138,"Bellegarde (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r184tab_r2#547d34tab_r3$td£$b£55.7%$/b£$/td£§+12.5$/td£$/tr£$tr£$td£Centre$/td£tab_r133tab_r2#f39f5etab_r3$td£$b£21.9%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£PLR$/td£tab_r114tab_r2#6268AFtab_r3$td£$b£9.4%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£PS$/td£tab_r19tab_r2#ea546ftab_r3$td£$b£6.2%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£3.9%$/b£$/td£§+0.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£267$/b£$br£Taux de participation: $b£54.4%$/b£ (+6.8%)","SVP"
2140,"Marsens (FR)","Résultats non encore disponibles.","no_data"
2143,"Morlon (FR)","tab_h_fr$tr£$td£PS$/td£tab_r142tab_r2#ea546ftab_r3$td£$b£28.3%$/b£$/td£§+9.7$/td£$/tr£$tr£$td£PLR$/td£tab_r129tab_r2#6268AFtab_r3$td£$b£19.2%$/b£$/td£§-7.7$/td£$/tr£$tr£$td£UDC$/td£tab_r126tab_r2#547d34tab_r3$td£$b£17.2%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£Centre$/td£tab_r122tab_r2#f39f5etab_r3$td£$b£14.8%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r118tab_r2#26b300tab_r3$td£$b£12.0%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.2%$/b£$/td£§+0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£270$/b£$br£Taux de participation: $b£55.7%$/b£ (+3.4%)","SP"
2145,"Le Pâquier (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r132tab_r2#547d34tab_r3$td£$b£21.5%$/b£$/td£§+7.2$/td£$/tr£$tr£$td£Centre$/td£tab_r131tab_r2#f39f5etab_r3$td£$b£20.9%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£PS$/td£tab_r130tab_r2#ea546ftab_r3$td£$b£20.1%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£PLR$/td£tab_r128tab_r2#6268AFtab_r3$td£$b£18.4%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r117tab_r2#26b300tab_r3$td£$b£11.5%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£434$/b£$br£Taux de participation: $b£50.6%$/b£ (+2.4%)","SVP"
2147,"Pont-la-Ville (FR)","Résultats non encore disponibles.","no_data"
2148,"Riaz (FR)","Résultats non encore disponibles.","no_data"
2149,"La Roche (FR)","Résultats non encore disponibles.","no_data"
2152,"Sâles (FR)","tab_h_fr$tr£$td£Centre$/td£tab_r143tab_r2#f39f5etab_r3$td£$b£28.4%$/b£$/td£§+3.7$/td£$/tr£$tr£$td£UDC$/td£tab_r138tab_r2#547d34tab_r3$td£$b£25.4%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£17.9%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.2%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.5%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£493$/b£$br£Taux de participation: $b£49.0%$/b£ (-1.3%)","Mitte"
2153,"Sorens (FR)","Résultats non encore disponibles.","no_data"
2155,"Vaulruz (FR)","tab_h_fr$tr£$td£Centre$/td£tab_r138tab_r2#f39f5etab_r3$td£$b£25.4%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£UDC$/td£tab_r136tab_r2#547d34tab_r3$td£$b£24.1%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r134tab_r2#6268AFtab_r3$td£$b£22.7%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.5%$/b£$/td£§+2.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.3%$/b£$/td£§-0.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£381$/b£$br£Taux de participation: $b£51.5%$/b£ (+3.4%)","Mitte"
2160,"Vuadens (FR)","Résultats non encore disponibles.","no_data"
2162,"Bas-Intyamon (FR)","tab_h_fr$tr£$td£PS$/td£tab_r140tab_r2#ea546ftab_r3$td£$b£26.5%$/b£$/td£§+5.6$/td£$/tr£$tr£$td£UDC$/td£tab_r136tab_r2#547d34tab_r3$td£$b£23.7%$/b£$/td£§+6.5$/td£$/tr£$tr£$td£Centre$/td£tab_r135tab_r2#f39f5etab_r3$td£$b£23.5%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.2%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.1%$/b£$/td£§-3.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£464$/b£$br£Taux de participation: $b£44.8%$/b£ (+2.5%)","SP"
2163,"Val-de-Charmey (FR)","Résultats non encore disponibles.","no_data"
2173,"Autigny (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.4%$/b£$/td£§+10.2$/td£$/tr£$tr£$td£Centre$/td£tab_r130tab_r2#f39f5etab_r3$td£$b£19.8%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£PS$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.5%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.4%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.9%$/b£$/td£§-3.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£258$/b£$br£Taux de participation: $b£48.7%$/b£ (+6.8%)","SVP"
2174,"Avry (FR)","tab_h_fr$tr£$td£PS$/td£tab_r134tab_r2#ea546ftab_r3$td£$b£22.7%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£UDC$/td£tab_r130tab_r2#547d34tab_r3$td£$b£20.0%$/b£$/td£§+5.3$/td£$/tr£$tr£$td£PLR$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£19.9%$/b£$/td£§-5.4$/td£$/tr£$tr£$td£Centre$/td£tab_r126tab_r2#f39f5etab_r3$td£$b£17.0%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.8%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.1%$/b£$/td£§-3.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£587$/b£$br£Taux de participation: $b£48.6%$/b£ (-1.1%)","SP"
2175,"Belfaux (FR)","tab_h_fr$tr£$td£Centre$/td£tab_r141tab_r2#f39f5etab_r3$td£$b£27.1%$/b£$/td£§+4.6$/td£$/tr£$tr£$td£PS$/td£tab_r139tab_r2#ea546ftab_r3$td£$b£25.7%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£UDC$/td£tab_r131tab_r2#547d34tab_r3$td£$b£20.4%$/b£$/td£§+6.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r115tab_r2#26b300tab_r3$td£$b£10.0%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PLR$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.6%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£PCS$/td£tab_r15tab_r2#abd0e7tab_r3$td£$b£3.6%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.0%$/b£$/td£§-3.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£858$/b£$br£Taux de participation: $b£47.9%$/b£ (+2.0%)","Mitte"
2177,"Chénens (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r136tab_r2#547d34tab_r3$td£$b£24.1%$/b£$/td£§+5.7$/td£$/tr£$tr£$td£Centre$/td£tab_r131tab_r2#f39f5etab_r3$td£$b£20.8%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£PS$/td£tab_r128tab_r2#ea546ftab_r3$td£$b£19.0%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r122tab_r2#26b300tab_r3$td£$b£15.0%$/b£$/td£§+5.1$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£14.1%$/b£$/td£§-8.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£205$/b£$br£Taux de participation: $b£40.0%$/b£ (+5.9%)","SVP"
2183,"Corminboeuf (FR)","Résultats non encore disponibles.","no_data"
2186,"Cottens (FR)","Résultats non encore disponibles.","no_data"
2194,"Ferpicloz (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r161tab_r2#547d34tab_r3$td£$b£40.8%$/b£$/td£§+19.6$/td£$/tr£$tr£$td£PLR$/td£tab_r137tab_r2#6268AFtab_r3$td£$b£25.0%$/b£$/td£§+4.3$/td£$/tr£$tr£$td£Centre$/td£tab_r124tab_r2#f39f5etab_r3$td£$b£15.8%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.7%$/b£$/td£§-7.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.4%$/b£$/td£§-3.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£86$/b£$br£Taux de participation: $b£52.4%$/b£ (+8.7%)","SVP"
2196,"Fribourg (FR)","Résultats non encore disponibles.","no_data"
2197,"Givisiez (FR)","Résultats non encore disponibles.","no_data"
2198,"Granges-Paccot (FR)","tab_h_fr$tr£$td£UDC$/td£tab_r135tab_r2#547d34tab_r3$td£$b£23.5%$/b£$/td£§+7.3$/td£$/tr£$tr£$td£Centre$/td£tab_r131tab_r2#f39f5etab_r3$td£$b£20.9%$/b£$/td£§+3.9$/td£$/tr£$tr£$td£PS$/td£tab_r130tab_r2#ea546ftab_r3$td£$b£20.0%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r125tab_r2#26b300tab_r3$td£$b£16.9%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.6%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.6%$/b£$/td£§-2.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£744$/b£$br£Taux de participation: $b£39.6%$/b£ (+2.4%)","SVP"
2200,"Grolley (FR)","tab_h_fr$tr£$td£PS$/td£tab_r135tab_r2#ea546ftab_r3$td£$b£23.3%$/b£$/td£§+5.5$/td£$/tr£$tr£$td£UDC$/td£tab_r134tab_r2#547d34tab_r3$td£$b£22.5%$/b£$/td£§+6.2$/td£$/tr£$tr£$td£Centre$/td£tab_r131tab_r2#f39f5etab_r3$td£$b£20.9%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£PLR$/td£tab_r120tab_r2#6268AFtab_r3$td£$b£13.3%$/b£$/td£§-7.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r117tab_r2#26b300tab_r3$td£$b£11.5%$/b£$/td£§-3.4$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.5%$/b£$/td£§-2.1$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£566$/b£$br£Taux de participation: $b£44.6%$/b£ (-0.5%)","SP"
2206,"Marly (FR)","Résultats non encore disponibles.","no_data"
2208,"Matran (FR)","tab_h_fr$tr£$td£PS$/td£tab_r139tab_r2#ea546ftab_r3$td£$b£25.7%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£Centre$/td£tab_r134tab_r2#f39f5etab_r3$td£$b£22.8%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.0%$/b£$/td£§-5.6$/td£$/tr£$tr£$td£UDC$/td£tab_r123tab_r2#547d34tab_r3$td£$b£15.6%$/b£$/td£§+6.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.6%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.4%$/b£$/td£§-3.8$/td£$/tr£$tr£$td£PCS$/td£tab_r16tab_r2#abd0e7tab_r3$td£$b£4.3%$/b£$/td£§+1.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£476$/b£$br£Taux de participation: $b£44.7%$/b£ (-5.0%)","SP"
2211,"Neyruz (FR)","tab_h_fr$tr£$td£PS$/td£tab_r137tab_r2#ea546ftab_r3$td£$b£25.0%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£Centre$/td£tab_r136tab_r2#f39f5etab_r3$td£$b£24.1%$/b£$/td£§+7.8$/td£$/tr£$tr£$td£UDC$/td£tab_r129tab_r2#547d34tab_r3$td£$b£19.0%$/b£$/td£§+5.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.5%$/b£$/td£§-2.7$/td£$/tr£$tr£$td£PLR$/td£tab_r118tab_r2#6268AFtab_r3$td£$b£11.9%$/b£$/td£§-4.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£806$/b£$br£Taux de participation: $b£46.3%$/b£ (-0.3%)","SP"
