"ID","Gemeinde_de","Tabelle_de","Staerkste_Partei"
243,"Dietikon ZH","Resultat liegt noch nicht vor.","no_data"
244,"Geroldswil ZH","Resultat liegt noch nicht vor.","no_data"
245,"Oberengstringen ZH","Resultat liegt noch nicht vor.","no_data"
246,"Oetwil an der Limmat ZH","tab_h$tr£$td£SVP$/td£tab_r164tab_r2#547d34tab_r3$td£$b£42.8%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£FDP$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£19.8%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£GLP$/td£tab_r116tab_r2#cbd401tab_r3$td£$b£11.0%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£SP$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.5%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Mitte$/td£tab_r111tab_r2#f39f5etab_r3$td£$b£7.1%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£Grüne$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.2%$/b£$/td£§-1.9$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£747$/b£$br£Wahlbeteiligung: $b£42.7%$/b£ (+2.2%)","SVP"
247,"Schlieren ZH","Resultat liegt noch nicht vor.","no_data"
248,"Uitikon ZH","Resultat liegt noch nicht vor.","no_data"
249,"Unterengstringen ZH","tab_h$tr£$td£SVP$/td£tab_r158tab_r2#547d34tab_r3$td£$b£38.9%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£FDP$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£16.5%$/b£$/td£§-6.3$/td£$/tr£$tr£$td£SP$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.4%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£GLP$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£11.7%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£Mitte$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.3%$/b£$/td£§+4.3$/td£$/tr£$tr£$td£Grüne$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.3%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£EVP$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.3%$/b£$/td£§+0.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'083$/b£$br£Wahlbeteiligung: $b£43.1%$/b£ (+2.4%)","SVP"
250,"Urdorf ZH","Resultat liegt noch nicht vor.","no_data"
251,"Weiningen ZH","Resultat liegt noch nicht vor.","no_data"
261,"Zürich ZH","Resultat liegt noch nicht vor.","no_data"
291,"Andelfingen ZH","Resultat liegt noch nicht vor.","no_data"
292,"Stammheim ZH","Resultat liegt noch nicht vor.","no_data"
293,"Wädenswil ZH","Resultat liegt noch nicht vor.","no_data"
294,"Elgg ZH","tab_h$tr£$td£SVP$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.4%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£SP$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.8%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£GLP$/td£tab_r122tab_r2#cbd401tab_r3$td£$b£14.7%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£FDP$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.4%$/b£$/td£§-2.9$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.9%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£Grüne$/td£tab_r110tab_r2#26b300tab_r3$td£$b£7.0%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£weitere$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.1%$/b£$/td£§+4.5$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£4.3%$/b£$/td£§-1.5$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'655$/b£$br£Wahlbeteiligung: $b£50.6%$/b£ (+2.5%)","SVP"
295,"Horgen ZH","tab_h$tr£$td£SVP$/td£tab_r143tab_r2#547d34tab_r3$td£$b£28.7%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£SP$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.4%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£FDP$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.0%$/b£$/td£§-1.8$/td£$/tr£$tr£$td£GLP$/td£tab_r119tab_r2#cbd401tab_r3$td£$b£12.7%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r117tab_r2#f39f5etab_r3$td£$b£11.3%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.5%$/b£$/td£§-3.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£5'838$/b£$br£Wahlbeteiligung: $b£44.4%$/b£ (+2.4%)","SVP"
296,"Illnau-Effretikon ZH","Resultat liegt noch nicht vor.","no_data"
297,"Bauma ZH","tab_h$tr£$td£SVP$/td£tab_r172tab_r2#547d34tab_r3$td£$b£48.2%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£SP$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.4%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£EVP$/td£tab_r113tab_r2#87bfdctab_r3$td£$b£8.8%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£7.0%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£FDP$/td£tab_r18tab_r2#6268AFtab_r3$td£$b£5.4%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£EDU$/td£tab_r18tab_r2#3aa59atab_r3$td£$b£5.3%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£Grüne$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.2%$/b£$/td£§-4.3$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.9%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£weitere$/td£tab_r17tab_r2#bebebetab_r3$td£$b£4.7%$/b£$/td£§+3.6$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'653$/b£$br£Wahlbeteiligung: $b£49.2%$/b£ (+1.2%)","SVP"
298,"Wiesendangen ZH","Resultat liegt noch nicht vor.","no_data"
301,"Aarberg BE","Resultat liegt noch nicht vor.","no_data"
302,"Bargen BE","Resultat liegt noch nicht vor.","no_data"
303,"Grossaffoltern BE","tab_h$tr£$td£SVP$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.7%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£SP$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£15.9%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r119tab_r2#f39f5etab_r3$td£$b£13.0%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£GLP$/td£tab_r115tab_r2#cbd401tab_r3$td£$b£10.0%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£Grüne$/td£tab_r114tab_r2#26b300tab_r3$td£$b£9.6%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£FDP$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.5%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£EVP$/td£tab_r17tab_r2#87bfdctab_r3$td£$b£4.3%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£weitere$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.3%$/b£$/td£§-0.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'310$/b£$br£Wahlbeteiligung: $b£53.3%$/b£ (+3.9%)","SVP"
304,"Kallnach BE","tab_h$tr£$td£SVP$/td£tab_r171tab_r2#547d34tab_r3$td£$b£47.3%$/b£$/td£§+6.0$/td£$/tr£$tr£$td£Mitte$/td£tab_r117tab_r2#f39f5etab_r3$td£$b£11.1%$/b£$/td£§-3.5$/td£$/tr£$tr£$td£SP$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.9%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£GLP$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£9.0%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£Grüne$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.4%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£FDP$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£4.5%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£weitere$/td£tab_r17tab_r2#bebebetab_r3$td£$b£4.5%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£EDU$/td£tab_r16tab_r2#3aa59atab_r3$td£$b£3.9%$/b£$/td£§+0.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£854$/b£$br£Wahlbeteiligung: $b£50.2%$/b£ (+6.2%)","SVP"
305,"Kappelen BE","tab_h$tr£$td£SVP$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.1%$/b£$/td£§+8.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r118tab_r2#f39f5etab_r3$td£$b£12.1%$/b£$/td£§-5.8$/td£$/tr£$tr£$td£SP$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.7%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.4%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£FDP$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£5.7%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.2%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£weitere$/td£tab_r17tab_r2#bebebetab_r3$td£$b£4.8%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£EDU$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.0%$/b£$/td£§+1.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£515$/b£$br£Wahlbeteiligung: $b£46.9%$/b£ (+0.1%)","SVP"
306,"Lyss BE","Resultat liegt noch nicht vor.","no_data"
307,"Meikirch BE","Resultat liegt noch nicht vor.","no_data"
309,"Radelfingen BE","tab_h$tr£$td£SVP$/td£tab_r161tab_r2#547d34tab_r3$td£$b£40.8%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£SP$/td£tab_r121tab_r2#ea546ftab_r3$td£$b£13.8%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£GLP$/td£tab_r116tab_r2#cbd401tab_r3$td£$b£10.8%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£9.9%$/b£$/td£§-3.8$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.0%$/b£$/td£§-5.3$/td£$/tr£$tr£$td£EVP$/td£tab_r18tab_r2#87bfdctab_r3$td£$b£5.2%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£weitere$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.2%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£FDP$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£4.6%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£EDU$/td£tab_r16tab_r2#3aa59atab_r3$td£$b£3.7%$/b£$/td£§+2.1$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£524$/b£$br£Wahlbeteiligung: $b£52.6%$/b£ (+1.5%)","SVP"
310,"Rapperswil BE","Resultat liegt noch nicht vor.","no_data"
311,"Schüpfen BE","Resultat liegt noch nicht vor.","no_data"
312,"Seedorf BE","Resultat liegt noch nicht vor.","no_data"
321,"Aarwangen BE","Resultat liegt noch nicht vor.","no_data"
322,"Auswil BE","Resultat liegt noch nicht vor.","no_data"
323,"Bannwil BE","tab_h$tr£$td£SVP$/td£tab_r171tab_r2#547d34tab_r3$td£$b£47.7%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£SP$/td£tab_r129tab_r2#ea546ftab_r3$td£$b£19.0%$/b£$/td£§+2.7$/td£$/tr£$tr£$td£Grüne$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.8%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.4%$/b£$/td£§-7.2$/td£$/tr£$tr£$td£weitere$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.1%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£FDP$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£4.7%$/b£$/td£§-3.0$/td£$/tr£$tr£$td£GLP$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.5%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£EDU$/td£tab_r16tab_r2#3aa59atab_r3$td£$b£3.8%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£EVP$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.0%$/b£$/td£§+1.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£224$/b£$br£Wahlbeteiligung: $b£42.6%$/b£ (-0.7%)","SVP"
324,"Bleienbach BE","tab_h$tr£$td£SVP$/td£tab_r186tab_r2#547d34tab_r3$td£$b£57.4%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£SP$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£15.0%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.3%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£Mitte$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.6%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£GLP$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.7%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£FDP$/td£tab_r15tab_r2#6268AFtab_r3$td£$b£3.0%$/b£$/td£§-2.1$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£292$/b£$br£Wahlbeteiligung: $b£48.1%$/b£ (+3.2%)","SVP"
325,"Busswil bei Melchnau BE","tab_h$tr£$td£SVP$/td£tab_r171tab_r2#547d34tab_r3$td£$b£47.6%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£FDP$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.8%$/b£$/td£§+6.1$/td£$/tr£$tr£$td£SP$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.6%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£Grüne$/td£tab_r115tab_r2#26b300tab_r3$td£$b£10.0%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.4%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£EDU$/td£tab_r18tab_r2#3aa59atab_r3$td£$b£5.4%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.7%$/b£$/td£§+1.5$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£85$/b£$br£Wahlbeteiligung: $b£54.8%$/b£ (+1.6%)","SVP"
326,"Gondiswil BE","tab_h$tr£$td£SVP$/td£tab_r190tab_r2#547d34tab_r3$td£$b£60.1%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£EDU$/td£tab_r112tab_r2#3aa59atab_r3$td£$b£7.8%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£SP$/td£tab_r111tab_r2#ea546ftab_r3$td£$b£7.2%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.1%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£5.0%$/b£$/td£§-7.2$/td£$/tr£$tr£$td£FDP$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£4.4%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£GLP$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.9%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£EVP$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.5%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£weitere$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.1%$/b£$/td£§+0.9$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£294$/b£$br£Wahlbeteiligung: $b£48.5%$/b£ (+0.9%)","SVP"
329,"Langenthal BE","Resultat liegt noch nicht vor.","no_data"
331,"Lotzwil BE","Resultat liegt noch nicht vor.","no_data"
332,"Madiswil BE","Resultat liegt noch nicht vor.","no_data"
333,"Melchnau BE","tab_h$tr£$td£SVP$/td£tab_r163tab_r2#547d34tab_r3$td£$b£41.9%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£SP$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£16.2%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£Grüne$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.6%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£Mitte$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.4%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.8%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£FDP$/td£tab_r110tab_r2#6268AFtab_r3$td£$b£6.6%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£4.2%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£weitere$/td£tab_r16tab_r2#bebebetab_r3$td£$b£4.1%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£EDU$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.1%$/b£$/td£§+1.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£531$/b£$br£Wahlbeteiligung: $b£47.9%$/b£ (+4.7%)","SVP"
335,"Oeschenbach BE","tab_h$tr£$td£SVP$/td£tab_r194tab_r2#547d34tab_r3$td£$b£62.5%$/b£$/td£§+6.1$/td£$/tr£$tr£$td£EDU$/td£tab_r118tab_r2#3aa59atab_r3$td£$b£11.7%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£EVP$/td£tab_r114tab_r2#87bfdctab_r3$td£$b£9.5%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.4%$/b£$/td£§-5.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.4%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£GLP$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.1%$/b£$/td£§+2.2$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£82$/b£$br£Wahlbeteiligung: $b£40.4%$/b£ (+3.8%)","SVP"
336,"Reisiswil BE","tab_h$tr£$td£SVP$/td£tab_r1101tab_r2#547d34tab_r3$td£$b£67.5%$/b£$/td£§-2.0$/td£$/tr£$tr£$td£EDU$/td£tab_r123tab_r2#3aa59atab_r3$td£$b£15.2%$/b£$/td£§+3.3$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.3%$/b£$/td£§-1.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£73$/b£$br£Wahlbeteiligung: $b£47.1%$/b£ (+8.9%)","SVP"
337,"Roggwil BE","Resultat liegt noch nicht vor.","no_data"
338,"Rohrbach BE","Resultat liegt noch nicht vor.","no_data"
339,"Rohrbachgraben BE","tab_h$tr£$td£SVP$/td£tab_r164tab_r2#547d34tab_r3$td£$b£42.8%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£EDU$/td£tab_r138tab_r2#3aa59atab_r3$td£$b£25.5%$/b£$/td£§+10.4$/td£$/tr£$tr£$td£EVP$/td£tab_r120tab_r2#87bfdctab_r3$td£$b£13.4%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£Mitte$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£4.2%$/b£$/td£§-13.0$/td£$/tr£$tr£$td£SP$/td£tab_r15tab_r2#ea546ftab_r3$td£$b£3.6%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Grüne$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.2%$/b£$/td£§+1.1$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£176$/b£$br£Wahlbeteiligung: $b£57.9%$/b£ (-2.5%)","SVP"
340,"Rütschelen BE","Resultat liegt noch nicht vor.","no_data"
341,"Schwarzhäusern BE","tab_h$tr£$td£SVP$/td£tab_r182tab_r2#547d34tab_r3$td£$b£54.7%$/b£$/td£§+5.1$/td£$/tr£$tr£$td£SP$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.6%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£FDP$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£7.8%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Mitte$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.5%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£GLP$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.8%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.4%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£EDU$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.1%$/b£$/td£§+0.9$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£203$/b£$br£Wahlbeteiligung: $b£47.2%$/b£ (+2.2%)","SVP"
342,"Thunstetten BE","tab_h$tr£$td£SVP$/td£tab_r160tab_r2#547d34tab_r3$td£$b£39.7%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£SP$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.6%$/b£$/td£§+1.9$/td£$/tr£$tr£$td£FDP$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.4%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£7.8%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Mitte$/td£tab_r111tab_r2#f39f5etab_r3$td£$b£7.5%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.3%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£EVP$/td£tab_r19tab_r2#87bfdctab_r3$td£$b£5.9%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£EDU$/td£tab_r17tab_r2#3aa59atab_r3$td£$b£4.7%$/b£$/td£§+1.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£1'003$/b£$br£Wahlbeteiligung: $b£43.1%$/b£ (+3.7%)","SVP"
344,"Ursenbach BE","tab_h$tr£$td£SVP$/td£tab_r181tab_r2#547d34tab_r3$td£$b£54.1%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£EDU$/td£tab_r113tab_r2#3aa59atab_r3$td£$b£8.6%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£Mitte$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.4%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.6%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£SP$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.4%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£weitere$/td£tab_r17tab_r2#bebebetab_r3$td£$b£5.0%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.8%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£GLP$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.1%$/b£$/td£§-2.1$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£341$/b£$br£Wahlbeteiligung: $b£49.3%$/b£ (+6.5%)","SVP"
345,"Wynau BE","tab_h$tr£$td£SVP$/td£tab_r158tab_r2#547d34tab_r3$td£$b£38.7%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£SP$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£18.3%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.8%$/b£$/td£§-2.0$/td£$/tr£$tr£$td£GLP$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.4%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£weitere$/td£tab_r111tab_r2#bebebetab_r3$td£$b£7.1%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.4%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£FDP$/td£tab_r18tab_r2#6268AFtab_r3$td£$b£5.2%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£EDU$/td£tab_r17tab_r2#3aa59atab_r3$td£$b£4.6%$/b£$/td£§+2.1$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£386$/b£$br£Wahlbeteiligung: $b£37.1%$/b£ (+0.2%)","SVP"
351,"Bern BE","Resultat liegt noch nicht vor.","no_data"
352,"Bolligen BE","Resultat liegt noch nicht vor.","no_data"
353,"Bremgarten bei Bern BE","Resultat liegt noch nicht vor.","no_data"
354,"Kirchlindach BE","Resultat liegt noch nicht vor.","no_data"
355,"Köniz BE","Resultat liegt noch nicht vor.","no_data"
356,"Muri bei Bern BE","Resultat liegt noch nicht vor.","no_data"
357,"Oberbalm BE","Resultat liegt noch nicht vor.","no_data"
358,"Stettlen BE","Resultat liegt noch nicht vor.","no_data"
359,"Vechigen BE","Resultat liegt noch nicht vor.","no_data"
360,"Wohlen bei Bern BE","Resultat liegt noch nicht vor.","no_data"
361,"Zollikofen BE","Resultat liegt noch nicht vor.","no_data"
362,"Ittigen BE","Resultat liegt noch nicht vor.","no_data"
363,"Ostermundigen BE","Resultat liegt noch nicht vor.","no_data"
371,"Biel BE","Resultat liegt noch nicht vor.","no_data"
372,"Leubringen BE","Resultat liegt noch nicht vor.","no_data"
381,"Arch BE","tab_h$tr£$td£SVP$/td£tab_r178tab_r2#547d34tab_r3$td£$b£51.9%$/b£$/td£§+6.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r119tab_r2#f39f5etab_r3$td£$b£12.6%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£SP$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.6%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£weitere$/td£tab_r19tab_r2#bebebetab_r3$td£$b£6.0%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£FDP$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£5.9%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£GLP$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.3%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.4%$/b£$/td£§-3.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£499$/b£$br£Wahlbeteiligung: $b£38.4%$/b£ (+0.5%)","SVP"
