"ID","Gemeinde_de","Text_de","Staerkste_Partei"
630,"Allmendingen BE","In Allmendingen bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 33,1 Prozent der Stimmen (-6,7 Prozentpunkte) auf sich, 20,1 Prozentpunkte mehr als die zweitplatzierte <b>FDP</b> (13 Prozent, -1,5 Prozentpunkte).<br><br>Der dritte Platz geht an die BDP. Die Partei erreicht 12,6 Prozent der Stimmen (Veränderung von -3,2 Prozentpunkten gegenüber 2019).","SVP"
632,"Wichtrach BE","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Wichtrach. Die Partei verzeichnet einen Wähleranteil von 31,9 Prozent (-4,9 Prozentpunkte).<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 12,4 Prozent (-1,4 Prozentpunkte).<br><br>Auf dem dritten Platz landet die <b>FDP</b> mit 11,2 Prozent der Stimmen. Das bedeutet eine Veränderung von +1,6 Prozentpunkten gegenüber 2019. ","SVP"
662,"Ferenbalm BE","Nach wie vor ist die <b>SVP</b> in Ferenbalm unangefochten die grösste Partei, mit einem Wähleranteil von 46,5 Prozent (-3 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>SP</b>, ist beträchtlich - nämlich 35,2 Prozentpunkte. Die <b>SP</b> erreicht einen Wähleranteil von 11,3 Prozent (+0,1 Prozentpunkte). <br><br>Den dritten Platz belegt die BDP. Die Partei erzielt einen Wähleranteil von zehn Prozent (Veränderung gegenüber 2019: -2,8 Prozentpunkte).","SVP"
663,"Frauenkappelen BE","Keine Änderung an der Spitze in Frauenkappelen: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (31,8 Prozent, -3 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>GLP</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +10,8 Prozentpunkte deutlich und weist neu einen Wähleranteil von 16,6 Prozent auf.<br><br>Der dritte Platz geht an die <b>SP</b>. Die Partei erreicht 11,7 Prozent der Stimmen (Veränderung von -2,2 Prozentpunkten gegenüber 2019).<br><br>Besonders ist: Die <b>GLP</b> erreicht in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).","SVP"
665,"Gurbrü BE","Die <b>SVP</b> ist in Gurbrü unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +6,9 Prozentpunkte deutlich und weist neu einen Wähleranteil von 11,3 Prozent auf.<br><br>Die <b>SP</b> landet mit 10,1 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -3 Prozentpunkte).","SVP"
666,"Kriechenwil BE","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Kriechenwil. Die Partei verzeichnet einen Wähleranteil von 37,2 Prozent (-6,8 Prozentpunkte).<br><br>Die BDP belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 20,4 Prozent (-0,4 Prozentpunkte).<br><br>Der dritte Platz geht an die <b>SP</b>. Die Partei erreicht 11,3 Prozent der Stimmen (Veränderung von +0,1 Prozentpunkten gegenüber 2019).","SVP"
667,"Laupen BE","In Laupen behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 26,6 Prozent (-1,7 Prozentpunkte).<br><br>Die <b>SP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 19,7 Prozent (-4,5 Prozentpunkte).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 12,4 Prozent. Das sind +6,3 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
668,"Mühleberg BE","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Mühleberg. Ihre Parteistärke beträgt 39,6 Prozent (-3,8 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SP</b>, ist gross: 27,1 Prozentpunkte. Die <b>SP</b> holt 12,4 Prozent (-1,7 Prozentpunkte).<br><br>Mit einem Wähleranteil von 11,3 Prozent belegt die BDP den dritten Platz (Veränderung gegenüber 2019: -2,8 Prozentpunkte).","SVP"
669,"Münchenwiler BE","Nach wie vor ist die <b>SVP</b> in Münchenwiler unangefochten die grösste Partei, mit einem Wähleranteil von 47,3 Prozent (+0,4 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>SP</b>, ist beträchtlich - nämlich 34,7 Prozentpunkte. Die <b>SP</b> erreicht einen Wähleranteil von 12,6 Prozent (+0 Prozentpunkte). <br><br>Die <b>Grünen</b> landen mit zehn Prozent auf dem dritten Platz (Veränderung gegenüber 2019: +4,9 Prozentpunkte).","SVP"
670,"Neuenegg BE","In Neuenegg ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 38,1 Prozent der Stimmen, 23,6 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Die BDP sichert sich den dritten Platz, mit einem Wähleranteil von 11,5 Prozent (Veränderung gegenüber 2019: -3,7 Prozentpunkte).","SVP"
671,"Wileroltigen BE","Die Reihenfolge der Parteien in Wileroltigen bleibt im Vergleich zu den Wahlen 2019 gleich: Die <b>SVP</b> bleibt mit 52,8 Prozent die stärkste Kraft, gefolgt von der BDP (12,2 Prozent, -4,4 Prozentpunkte) und der <b>SP</b> (11,4 Prozent, -0,3 Prozentpunkte).<br><br>","SVP"
681,"Belprahon BE","Die <b>SVP</b> ist weiterhin die stärkste Kraft in Belprahon. Mit 28,8 Prozent Wähleranteil verweist die Partei die <b>Mitte</b> allerdings nur mit 0,2 Prozentpunkten Abstand auf den zweiten Platz. Die zweitstärkste Partei holt 28,5 Prozent. Die Veränderungen gegenüber 2019: <b>SVP</b>: -2,7 Prozentpunkte; <b>Mitte</b>: +16,2 Prozentpunkte.<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 11,9 Prozent. Das sind +7,7 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
683,"Champoz BE","Die <b>SVP</b> ist in Champoz unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Die <b>EVP</b> steigert sich mit einem Plus von +5,7 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 12,3 Prozent.<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 6,6 Prozent, was einer Zunahme von +5,1 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
687,"Corcelles BE","Nach wie vor ist die <b>SVP</b> in Corcelles BE unangefochten die grösste Partei, mit einem Wähleranteil von 42 Prozent (-7,9 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>EDU</b>, ist beträchtlich - nämlich 23,5 Prozentpunkte. Die <b>EDU</b> erreicht einen Wähleranteil von 18,5 Prozent (-2,1 Prozentpunkte). <br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 14,7 Prozent, was einer Zunahme von +12,9 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
690,"Court BE","In Court ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 48,3 Prozent der Stimmen, 30,2 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Die <b>SP</b> verliert -9,1 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 9,2 Prozent nur noch auf dem dritten Platz landet.","SVP"
691,"Crémines BE","In Crémines bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 30,8 Prozent aller Stimmen (-7,3 Prozentpunkte).<br><br>Die <b>SP</b> verliert mit einem Minus von -6,3 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 18,3 Prozent noch auf dem zweiten Platz.<br><br>Deutlich zulegen kann die <b>Mitte</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 17,3 Prozent, was einer Zunahme von +13,3 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
692,"Eschert BE","Nach wie vor ist die <b>SVP</b> in Eschert unangefochten die grösste Partei, mit einem Wähleranteil von 47,4 Prozent (+9,8 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>Grünen</b>, ist beträchtlich - nämlich 35,4 Prozentpunkte. Die <b>Grünen</b> erreichen einen Wähleranteil von zwölf Prozent (+6,4 Prozentpunkte). <br><br>Die <b>SP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 11,1 Prozent der Stimmen und damit -9,9 Prozentpunkte weniger als vor vier Jahren.","SVP"
694,"Grandval BE","Nach wie vor ist die <b>SVP</b> in Grandval unangefochten die grösste Partei, mit einem Wähleranteil von 40,2 Prozent (+0,2 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>Mitte</b>, ist beträchtlich - nämlich 23,3 Prozentpunkte. Die <b>Mitte</b> erreicht einen Wähleranteil von 16,9 Prozent (+15,7 Prozentpunkte). <br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 13,2 Prozent der Stimmen. Das bedeutet eine Veränderung von +4,1 Prozentpunkten gegenüber 2019. ","SVP"
696,"Loveresse BE","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Loveresse. Die Partei verzeichnet einen Wähleranteil von 38 Prozent (-4,1 Prozentpunkte).<br><br>Die <b>SP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 20,4 Prozent (-3,3 Prozentpunkte).<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit 13,8 Prozent der Stimmen. Das bedeutet eine Veränderung von +4,6 Prozentpunkten gegenüber 2019. ","SVP"
700,"Moutier BE","Mit einem grossen Sprung von +21,3 Prozentpunkten ist die <b>Mitte</b> neu die stärkste Partei in Moutier. Die Partei erhält 31,1 Prozent der Wählerstimmen.<br><br>Die <b>SVP</b> verliert mit einem Minus von -6,9 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 24,6 Prozent noch auf dem zweiten Platz.<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 12,2 Prozent. Das sind +7 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.<br><br>Besonders ist: Die <b>Mitte</b> erreicht in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).","Mitte"
701,"Perrefitte BE","Nach wie vor ist die <b>SVP</b> in Perrefitte unangefochten die grösste Partei, mit einem Wähleranteil von 41,3 Prozent (-3,4 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>Mitte</b>, ist beträchtlich - nämlich 26,7 Prozentpunkte. Die <b>Mitte</b> erreicht einen Wähleranteil von 14,6 Prozent (+10,5 Prozentpunkte). <br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 9,8 Prozent, was einer Zunahme von +6 Prozentpunkten gegenüber der letzten Wahl entspricht.<br><br>In der Gemeinde Perrefitte wohnt auch eine Nationalrätin: <b>Virginie Heyer (<b>FDP</b>)</b>.","SVP"
703,"Reconvilier BE","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Reconvilier. Ihre Parteistärke beträgt 39,1 Prozent (-4,6 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SP</b>, ist gross: 22,8 Prozentpunkte. Die <b>SP</b> holt 16,3 Prozent (-4,6 Prozentpunkte).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von zehn Prozent. Das sind +5,3 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
704,"Roches BE","Roches BE ist unbestrittenes Territorium der <b>SVP</b>. Die Partei holt die absolute Mehrheit der Stimmen.<br><br>Zweitstärkste Partei ist die <b>Mitte</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +6,7 Prozentpunkte deutlich und weist neu einen Wähleranteil von 9,7 Prozent auf.<br><br>Der dritte Platz geht an die <b>EDU</b>. Die Partei erreicht 8,8 Prozent der Stimmen (Veränderung von +2 Prozentpunkten gegenüber 2019).","SVP"
706,"Saicourt BE","Die <b>SVP</b> ist in Saicourt unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Die <b>Grünen</b> steigern sich mit einem Plus von +7,2 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 11,6 Prozent.<br><br>Die <b>SP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 8,6 Prozent (Veränderung gegenüber 2019: -4,2 Prozentpunkte).","SVP"
707,"Saules BE","Die <b>SVP</b> ist in Saules BE unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Die <b>Grünen</b> steigern sich mit einem Plus von +6,4 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 10,4 Prozent.<br><br>Die BDP sichert sich den dritten Platz, mit einem Wähleranteil von 5,8 Prozent (Veränderung gegenüber 2019: +1,2 Prozentpunkte).","SVP"
708,"Schelten BE","In der Gemeinde Schelten holt sich die <b>SVP</b> am meisten Stimmen (146 Stimmen). Dahinter folgen die <b>Grünen</b> (126 Stimmen) und die <b>Mitte</b> (48 Stimmen).<br><br>Nur wenige Gemeinden weisen eine tiefere Wahlbeteiligung auf als Schelten mit 23,2 Prozent. Sie gehört zu den zehn Gemeinden mit der tiefsten Wahlbeteiligung.","SVP"
709,"Seehof BE","Die <b>SVP</b> ist in Seehof unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Am zweitmeisten Stimmen, nämlich 13 Prozent, gehen in Seehof an Listen oder Parteien aus der Kategorie ""Übrige"".<br><br>Die <b>Grünen</b> müssen sich sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 5,3 Prozent der Stimmen und damit -5,2 Prozentpunkte weniger als vor vier Jahren.","SVP"
711,"Sorvilier BE","Die <b>SVP</b> erhöht ihren Stimmenanteil in Sorvilier um +6,9 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 30,4 Prozent der Wählerstimmen.<br><br>Mit einer markanten Verbesserung um +21,2 Prozentpunkte ist die <b>Mitte</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 22 Prozent.<br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte <b>SP</b>. Die Partei holt noch 18,7 Prozent, was einen Verlust von -17,8 Prozentpunkten bedeutet.","SVP"
713,"Tavannes BE","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Tavannes. Die Partei verzeichnet einen Wähleranteil von 29,7 Prozent (-6,4 Prozentpunkte).<br><br>Einen markanten Verlust muss die <b>SP</b> hinnehmen: Die Partei verliert -7,5 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 20 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 14,4 Prozent, was einer Zunahme von +10,6 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
715,"Rebévelier BE","Nach wie vor ist die <b>SVP</b> in Rebévelier unangefochten die grösste Partei, mit einem Wähleranteil von 47,3 Prozent (-13,6 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, weitere Parteien/Listen, ist beträchtlich - nämlich 30,9 Prozentpunkte. Weitere Parteien/Listen erreicht einen Wähleranteil von 16,3 Prozent (+16,3 Prozentpunkte). <br><br>Den dritten Platz belegen die <b>Grünen</b>. Die Partei erzielt einen Wähleranteil von 8,5 Prozent (Veränderung gegenüber 2019: +4 Prozentpunkte).<br><br>Speziell: In keiner anderen Gemeinde der Schweiz erzielt die <b>FDP</b> ein schlechteres Ergebnis (ohne Kleinstgemeinden).<br><br>Die Gemeinde gehört in der Schweiz zu den zehn Gemeinden mit der höchsten Wahlbeteiligung mit 85,4 Prozent.","SVP"
716,"Petit-Val BE","In Petit-Val bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 48,8 Prozent der Stimmen (+1,2 Prozentpunkte) auf sich, 35,8 Prozentpunkte mehr als die zweitplatzierten <b>Grünen</b> (13 Prozent, +2,8 Prozentpunkte).<br><br>Die <b>SP</b> verliert -9,6 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 6,6 Prozent nur noch auf dem dritten Platz landet.","SVP"
717,"Valbirse BE","Unverändert ist die <b>SVP</b> die stärkste Partei in Valbirse mit 36,1 Prozent (-2,6 Prozentpunkte).<br><br>Trotz einem Minus von -6,9 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>SP</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 19,9 Prozent.<br><br>Mit einem deutlichen Anstieg von +6,2 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 9,3 Prozent.","SVP"
723,"Neuenstadt BE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Neuenstadt um +16,3 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 25,5 Prozent der Wählerstimmen.<br><br>Die <b>SP</b> verliert mit einem Minus von -11,5 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 23 Prozent noch auf dem zweiten Platz.<br><br>Den dritten Platz belegt die <b>FDP</b>. Die Partei erzielt einen Wähleranteil von 13 Prozent (Veränderung gegenüber 2019: -2,3 Prozentpunkte).","Grüne"
724,"Nods BE","In Nods verliert die <b>SVP</b> zwar deutlich an Stimmen. Die Partei bleibt dennoch die stärkste Kraft und kommt neu auf einen Wähleranteil von 25,8 Prozent (-14,3 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +12,2 Prozentpunkte deutlich und weist neu einen Wähleranteil von 19,1 Prozent auf.<br><br>Die <b>SP</b> verliert -11,8 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 12,6 Prozent nur noch auf dem dritten Platz landet.","SVP"
726,"Plateau de Diesse BE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Plateau de Diesse um +16,5 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 26,5 Prozent der Wählerstimmen.<br><br>Die <b>SVP</b> verliert mit einem Minus von -9,6 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 22,9 Prozent noch auf dem zweiten Platz.<br><br>Die <b>SP</b> verliert -8,4 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 20,5 Prozent nur noch auf dem dritten Platz landet.<br><br>Besonders ist: Die <b>Grünen</b> erreichen in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).","Grüne"
731,"Aegerten BE","Keine Änderung an der Spitze in Aegerten: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (32,5 Prozent, -6,3 Prozentpunkte).<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>SP</b>. Die Partei erreicht einen Wählerstimmenanteil von 20,8 Prozent (-2,2 Prozentpunkte).<br><br>Der dritte Platz geht an die BDP. Die Partei erreicht 11,8 Prozent der Stimmen (Veränderung von -2,7 Prozentpunkten gegenüber 2019).","SVP"
732,"Bellmund BE","In Bellmund bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 28,2 Prozent aller Stimmen (-0,2 Prozentpunkte).<br><br>Die <b>FDP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 16,9 Prozent (-2,4 Prozentpunkte).<br><br>Mit einem Wähleranteil von 13,2 Prozent belegt die <b>SP</b> den dritten Platz (Veränderung gegenüber 2019: -1,3 Prozentpunkte).","SVP"
733,"Brügg BE","Die <b>SVP</b> ist weiterhin die stärkste Kraft in Brügg. Mit 23,9 Prozent Wähleranteil verweist die Partei die <b>SP</b> allerdings nur mit 1 Prozentpunkten Abstand auf den zweiten Platz. Die zweitstärkste Partei holt 23 Prozent. Die Veränderungen gegenüber 2019: <b>SVP</b>: -8,2 Prozentpunkte; <b>SP</b>: -0,2 Prozentpunkte.<br><br>Mit einem deutlichen Anstieg von +8,6 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 16,5 Prozent.","SVP"
734,"Bühl BE","Mit grossem Abstand verteidigt die <b>SVP</b> ihre Position als grösste Partei in Bühl, mit einem Wähleranteil von 45,1 Prozent (-1 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der BDP, beträgt 29,1 Prozentpunkte. Die BDP erhält 16 Prozent der Stimmen (-5,5 Prozentpunkte).<br><br>Der dritte Platz geht an die <b>GLP</b>. Die Partei erreicht 11,1 Prozent der Stimmen (Veränderung von +3,1 Prozentpunkten gegenüber 2019).","SVP"
735,"Epsach BE","Epsach ist unbestrittenes Territorium der <b>SVP</b>. Die Partei holt die absolute Mehrheit der Stimmen.<br><br>Die <b>SP</b> verliert mit einem Minus von -9,3 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 9,8 Prozent noch auf dem zweiten Platz.<br><br>Den dritten Platz belegt die BDP. Die Partei erzielt einen Wähleranteil von 9,5 Prozent (Veränderung gegenüber 2019: +0,1 Prozentpunkte).","SVP"
736,"Hagneck BE","Nach wie vor ist die <b>SVP</b> in Hagneck unangefochten die grösste Partei, mit einem Wähleranteil von 39,5 Prozent (-1,6 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>Grünen</b>, ist beträchtlich - nämlich 26 Prozentpunkte. Die <b>Grünen</b> erreichen einen Wähleranteil von 13,6 Prozent (+8,5 Prozentpunkte). <br><br>Die <b>SP</b> verliert -7,9 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 13,2 Prozent nur noch auf dem dritten Platz landet.","SVP"
737,"Hermrigen BE","In Hermrigen bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 45,2 Prozent der Stimmen (-15,6 Prozentpunkte) auf sich, 33 Prozentpunkte mehr als die zweitplatzierte BDP (12,3 Prozent, -1,6 Prozentpunkte).<br><br>Deutlich zulegen kann die <b>GLP</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 11,2 Prozent, was einer Zunahme von +8,8 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
738,"Jens BE","Alles bleibt beim Alten in Jens: Die drei stärksten Parteien verteidigen ihre Spitzenplätze in unveränderter Reihenfolge: Die <b>SVP</b> geht mit 30,4 Prozent (-3,6 Prozentpunkte) wieder als stärkste Kraft aus den Nationalratswahlen. Zweitstärkste Partei ist die BDP (21,3 Prozent, -2,3 Prozentpunkte), drittstärkste die <b>SP</b> (15,1 Prozent, -3,4 Prozentpunkte).<br><br>","SVP"
739,"Ipsach BE","In Ipsach bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 24,8 Prozent aller Stimmen (-5,8 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>SP</b> mit 19,5 Prozent (-2,5 Prozentpunkte gegenüber 2019).<br><br>Die <b>FDP</b> landet mit 14,9 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: +1,1 Prozentpunkte).","SVP"
740,"Ligerz BE","In Ligerz steht eine neue Partei auf dem Spitzenplatz: Die BDP holt 20,5 Prozent der Stimmen (-1,8 Prozentpunkte) und verbessert sich damit von Rang zwei auf den ersten Platz.<br><br>Die <b>SVP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 20,3 Prozent (-2,4 Prozentpunkte).<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von 16,6 Prozent (Veränderung gegenüber 2019: +2,9 Prozentpunkte).","BDP"
741,"Merzligen BE","In Merzligen bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 29 Prozent aller Stimmen (-0,2 Prozentpunkte).<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>SP</b>. Die Partei erreicht einen Wählerstimmenanteil von 14,8 Prozent (-3,8 Prozentpunkte).<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 14,3 Prozent, was einer Zunahme von +7,6 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
742,"Mörigen BE","Trotz beträchtlicher Stimmenverluste in Mörigen bleibt die <b>SVP</b> die vorherrschende Kraft. Die Partei erreicht neu noch einen Wähleranteil von 33,5 Prozent (-9,7 Prozentpunkte).<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>FDP</b>. Die Partei erreicht einen Wählerstimmenanteil von 22 Prozent (+1,8 Prozentpunkte).<br><br>Mit einem Wähleranteil von 10,6 Prozent belegt die <b>GLP</b> den dritten Platz (Veränderung gegenüber 2019: +4,9 Prozentpunkte).","SVP"
743,"Nidau BE","In Nidau behält die <b>SP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 22,3 Prozent (-5,5 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +8,2 Prozentpunkte sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 19,3 Prozent.<br><br>Die <b>SVP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 17,5 Prozent der Stimmen und damit -6,5 Prozentpunkte weniger als vor vier Jahren.","SP"
744,"Orpund BE","In Orpund bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 37 Prozent aller Stimmen (0 Prozentpunkte).<br><br>Einen markanten Verlust muss die <b>SP</b> hinnehmen: Die Partei verliert -5 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 19,5 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Die <b>Grünen</b> sichern sich den dritten Platz, mit einem Wähleranteil von 8,6 Prozent (Veränderung gegenüber 2019: +3,7 Prozentpunkte).","SVP"
