"ID","Gemeinde_it","Tabelle_it","Staerkste_Partei"
1129,"Fischbach LU","tab_h_it$tr£$td£UDC$/td£tab_r166tab_r2#547d34tab_r3$td£$b£43.9%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Centro$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.4%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.0%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£altro$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.9%$/b£$/td£§+3.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£282$/b£$br£Tasso di partecipazione: $b£58.1%$/b£ (+10.3%)","SVP"
1131,"Grossdietwil LU","tab_h_it$tr£$td£Centro$/td£tab_r161tab_r2#f39f5etab_r3$td£$b£40.7%$/b£$/td£§-7.1$/td£$/tr£$tr£$td£UDC$/td£tab_r138tab_r2#547d34tab_r3$td£$b£25.3%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£14.2%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£Verdi$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.4%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PS$/td£tab_r18tab_r2#ea546ftab_r3$td£$b£5.2%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£4.0%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+3.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£338$/b£$br£Tasso di partecipazione: $b£53.1%$/b£ (+0.2%)","Mitte"
1132,"Hergiswil bei Willisau LU","tab_h_it$tr£$td£Centro$/td£tab_r177tab_r2#f39f5etab_r3$td£$b£51.1%$/b£$/td£§+1.9$/td£$/tr£$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.7%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£PLR$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.6%$/b£$/td£§-3.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£879$/b£$br£Tasso di partecipazione: $b£63.8%$/b£ (+12.4%)","Mitte"
1135,"Luthern LU","tab_h_it$tr£$td£Centro$/td£tab_r178tab_r2#f39f5etab_r3$td£$b£51.7%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.1%$/b£$/td£§+3.7$/td£$/tr£$tr£$td£PLR$/td£tab_r18tab_r2#6268AFtab_r3$td£$b£5.6%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+3.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£531$/b£$br£Tasso di partecipazione: $b£58.6%$/b£ (+12.3%)","Mitte"
1136,"Menznau LU","tab_h_it$tr£$td£Centro$/td£tab_r164tab_r2#f39f5etab_r3$td£$b£42.9%$/b£$/td£§+9.6$/td£$/tr£$tr£$td£UDC$/td£tab_r149tab_r2#547d34tab_r3$td£$b£33.0%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.9%$/b£$/td£§-8.6$/td£$/tr£$tr£$td£PS$/td£tab_r16tab_r2#ea546ftab_r3$td£$b£3.9%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+3.5$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'180$/b£$br£Tasso di partecipazione: $b£56.8%$/b£ (+0.5%)","Mitte"
1137,"Nebikon LU","tab_h_it$tr£$td£PLR$/td£tab_r156tab_r2#6268AFtab_r3$td£$b£37.1%$/b£$/td£§+7.2$/td£$/tr£$tr£$td£Centro$/td£tab_r137tab_r2#f39f5etab_r3$td£$b£24.5%$/b£$/td£§-4.8$/td£$/tr£$tr£$td£UDC$/td£tab_r130tab_r2#547d34tab_r3$td£$b£19.7%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.9%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Verdi$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.7%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.6%$/b£$/td£§+0.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£703$/b£$br£Tasso di partecipazione: $b£48.4%$/b£ (+3.3%)","FDP"
1139,"Pfaffnau LU","tab_h_it$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.1%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Centro$/td£tab_r147tab_r2#f39f5etab_r3$td£$b£31.5%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£PLR$/td£tab_r120tab_r2#6268AFtab_r3$td£$b£13.5%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PS$/td£tab_r111tab_r2#ea546ftab_r3$td£$b£7.2%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£altro$/td£tab_r17tab_r2#bebebetab_r3$td£$b£4.9%$/b£$/td£§+4.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.8%$/b£$/td£§-4.1$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.8%$/b£$/td£§-0.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£822$/b£$br£Tasso di partecipazione: $b£46.2%$/b£ (+2.7%)","SVP"
1140,"Reiden LU","tab_h_it$tr£$td£UDC$/td£tab_r149tab_r2#547d34tab_r3$td£$b£32.7%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£Centro$/td£tab_r143tab_r2#f39f5etab_r3$td£$b£28.9%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PLR$/td£tab_r129tab_r2#6268AFtab_r3$td£$b£19.4%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£PS$/td£tab_r112tab_r2#ea546ftab_r3$td£$b£7.7%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.4%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.2%$/b£$/td£§-2.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'792$/b£$br£Tasso di partecipazione: $b£41.6%$/b£ (+1.4%)","SVP"
1142,"Roggliswil LU","tab_h_it$tr£$td£UDC$/td£tab_r156tab_r2#547d34tab_r3$td£$b£37.4%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£Centro$/td£tab_r145tab_r2#f39f5etab_r3$td£$b£30.3%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£PLR$/td£tab_r128tab_r2#6268AFtab_r3$td£$b£18.5%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PS$/td£tab_r18tab_r2#ea546ftab_r3$td£$b£5.1%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£altro$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.8%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.1%$/b£$/td£§+1.8$/td£$/tr£$/table£$br£Schede elettorali valide: $b£290$/b£$br£Tasso di partecipazione: $b£50.7%$/b£ (+5.9%)","SVP"
1143,"Schötz LU","tab_h_it$tr£$td£Centro$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.4%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£UDC$/td£tab_r144tab_r2#547d34tab_r3$td£$b£29.0%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£13.8%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.8%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.8%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.3%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.2%$/b£$/td£§+2.8$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'236$/b£$br£Tasso di partecipazione: $b£42.2%$/b£ (+0.5%)","Mitte"
1145,"Ufhusen LU","tab_h_it$tr£$td£Centro$/td£tab_r167tab_r2#f39f5etab_r3$td£$b£44.8%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£UDC$/td£tab_r149tab_r2#547d34tab_r3$td£$b£32.6%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.8%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£altro$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.1%$/b£$/td£§+4.6$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.1%$/b£$/td£§+0.5$/td£$/tr£$/table£$br£Schede elettorali valide: $b£356$/b£$br£Tasso di partecipazione: $b£51.6%$/b£ (+0.3%)","Mitte"
1146,"Wauwil LU","tab_h_it$tr£$td£Centro$/td£tab_r146tab_r2#f39f5etab_r3$td£$b£30.6%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£UDC$/td£tab_r141tab_r2#547d34tab_r3$td£$b£27.2%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£PLR$/td£tab_r129tab_r2#6268AFtab_r3$td£$b£19.6%$/b£$/td£§+1.9$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.6%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.9%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£Verdi$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.4%$/b£$/td£§-2.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£780$/b£$br£Tasso di partecipazione: $b£49.7%$/b£ (+3.4%)","Mitte"
1147,"Wikon LU","tab_h_it$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.7%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Centro$/td£tab_r138tab_r2#f39f5etab_r3$td£$b£25.3%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£PS$/td£tab_r117tab_r2#ea546ftab_r3$td£$b£11.1%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.6%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.9%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Verdi$/td£tab_r19tab_r2#26b300tab_r3$td£$b£5.9%$/b£$/td£§-3.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£462$/b£$br£Tasso di partecipazione: $b£49.1%$/b£ (+9.6%)","SVP"
1150,"Zell LU LU","tab_h_it$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£35.8%$/b£$/td£§+5.9$/td£$/tr£$tr£$td£Centro$/td£tab_r147tab_r2#f39f5etab_r3$td£$b£31.0%$/b£$/td£§-5.6$/td£$/tr£$tr£$td£PLR$/td£tab_r127tab_r2#6268AFtab_r3$td£$b£18.3%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.9%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+3.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£760$/b£$br£Tasso di partecipazione: $b£52.1%$/b£ (+5.4%)","SVP"
1151,"Willisau LU","tab_h_it$tr£$td£Centro$/td£tab_r152tab_r2#f39f5etab_r3$td£$b£34.9%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£UDC$/td£tab_r141tab_r2#547d34tab_r3$td£$b£27.5%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£PLR$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£17.0%$/b£$/td£§-3.0$/td£$/tr£$tr£$td£PS$/td£tab_r115tab_r2#ea546ftab_r3$td£$b£10.3%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£Verdi$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.7%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.1%$/b£$/td£§-0.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£3'398$/b£$br£Tasso di partecipazione: $b£55.1%$/b£ (+2.0%)","Mitte"
1201,"Altdorf UR","tab_h_it$tr£$td£Centro$/td£tab_r1109tab_r2#f39f5etab_r3$td£$b£72.6%$/b£$/td£§+38.7$/td£$/tr£$tr£$td£UDC$/td£tab_r137tab_r2#547d34tab_r3$td£$b£24.4%$/b£$/td£§-4.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£3'587$/b£$br£Tasso di partecipazione: $b£53.0%$/b£ (+2.2%)","Mitte"
1202,"Andermatt UR","tab_h_it$tr£$td£Centro$/td£tab_r197tab_r2#f39f5etab_r3$td£$b£64.7%$/b£$/td£§+26.4$/td£$/tr£$tr£$td£UDC$/td£tab_r149tab_r2#547d34tab_r3$td£$b£32.9%$/b£$/td£§-7.8$/td£$/tr£$/table£$br£Schede elettorali valide: $b£417$/b£$br£Tasso di partecipazione: $b£46.2%$/b£ (+3.4%)","Mitte"
1203,"Attinghausen UR","tab_h_it$tr£$td£Centro$/td£tab_r195tab_r2#f39f5etab_r3$td£$b£63.5%$/b£$/td£§+15.5$/td£$/tr£$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.1%$/b£$/td£§-3.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£652$/b£$br£Tasso di partecipazione: $b£51.6%$/b£ (+2.8%)","Mitte"
1205,"Bürglen UR UR","tab_h_it$tr£$td£Centro$/td£tab_r186tab_r2#f39f5etab_r3$td£$b£57.1%$/b£$/td£§+18.0$/td£$/tr£$tr£$td£UDC$/td£tab_r162tab_r2#547d34tab_r3$td£$b£41.4%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'558$/b£$br£Tasso di partecipazione: $b£54.4%$/b£ (+10.1%)","Mitte"
1206,"Erstfeld UR","tab_h_it$tr£$td£Centro$/td£tab_r198tab_r2#f39f5etab_r3$td£$b£65.0%$/b£$/td£§+23.3$/td£$/tr£$tr£$td£UDC$/td£tab_r149tab_r2#547d34tab_r3$td£$b£32.6%$/b£$/td£§+0.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'144$/b£$br£Tasso di partecipazione: $b£47.7%$/b£ (+3.2%)","Mitte"
1207,"Flüelen UR","tab_h_it$tr£$td£Centro$/td£tab_r185tab_r2#f39f5etab_r3$td£$b£56.4%$/b£$/td£§+23.6$/td£$/tr£$tr£$td£UDC$/td£tab_r158tab_r2#547d34tab_r3$td£$b£38.6%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£altro$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.1%$/b£$/td£§+1.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£731$/b£$br£Tasso di partecipazione: $b£52.6%$/b£ (+5.0%)","Mitte"
1208,"Göschenen UR","tab_h_it$tr£$td£Centro$/td£tab_r181tab_r2#f39f5etab_r3$td£$b£53.9%$/b£$/td£§+18.4$/td£$/tr£$tr£$td£UDC$/td£tab_r161tab_r2#547d34tab_r3$td£$b£40.6%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£altro$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.5%$/b£$/td£§+1.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£128$/b£$br£Tasso di partecipazione: $b£46.0%$/b£ (-2.3%)","Mitte"
1209,"Gurtnellen UR","tab_h_it$tr£$td£Centro$/td£tab_r184tab_r2#f39f5etab_r3$td£$b£55.7%$/b£$/td£§+20.1$/td£$/tr£$tr£$td£UDC$/td£tab_r165tab_r2#547d34tab_r3$td£$b£43.2%$/b£$/td£§+0.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£176$/b£$br£Tasso di partecipazione: $b£45.8%$/b£ (+3.9%)","Mitte"
1210,"Hospental UR","tab_h_it$tr£$td£UDC$/td£tab_r182tab_r2#547d34tab_r3$td£$b£54.9%$/b£$/td£§+7.7$/td£$/tr£$tr£$td£Centro$/td£tab_r165tab_r2#f39f5etab_r3$td£$b£43.1%$/b£$/td£§-2.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£51$/b£$br£Tasso di partecipazione: $b£41.5%$/b£ (+4.7%)","SVP"
1211,"Isenthal UR","tab_h_it$tr£$td£Centro$/td£tab_r192tab_r2#f39f5etab_r3$td£$b£61.5%$/b£$/td£§+4.4$/td£$/tr£$tr£$td£UDC$/td£tab_r157tab_r2#547d34tab_r3$td£$b£38.0%$/b£$/td£§+9.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£179$/b£$br£Tasso di partecipazione: $b£50.3%$/b£ (+8.5%)","Mitte"
1212,"Realp UR","tab_h_it$tr£$td£Centro$/td£tab_r1104tab_r2#f39f5etab_r3$td£$b£69.5%$/b£$/td£§+28.8$/td£$/tr£$tr£$td£UDC$/td£tab_r143tab_r2#547d34tab_r3$td£$b£28.8%$/b£$/td£§-18.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£59$/b£$br£Tasso di partecipazione: $b£59.3%$/b£ (+6.0%)","Mitte"
1213,"Schattdorf UR","tab_h_it$tr£$td£Centro$/td£tab_r193tab_r2#f39f5etab_r3$td£$b£62.0%$/b£$/td£§+22.1$/td£$/tr£$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£36.0%$/b£$/td£§-4.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'903$/b£$br£Tasso di partecipazione: $b£49.6%$/b£ (+3.6%)","Mitte"
1214,"Seedorf UR","tab_h_it$tr£$td£Centro$/td£tab_r198tab_r2#f39f5etab_r3$td£$b£65.1%$/b£$/td£§+17.0$/td£$/tr£$tr£$td£UDC$/td£tab_r151tab_r2#547d34tab_r3$td£$b£34.2%$/b£$/td£§-0.5$/td£$/tr£$/table£$br£Schede elettorali valide: $b£793$/b£$br£Tasso di partecipazione: $b£55.7%$/b£ (+3.4%)","Mitte"
1215,"Seelisberg UR","tab_h_it$tr£$td£UDC$/td£tab_r179tab_r2#547d34tab_r3$td£$b£52.9%$/b£$/td£§+13.4$/td£$/tr£$tr£$td£Centro$/td£tab_r170tab_r2#f39f5etab_r3$td£$b£46.6%$/b£$/td£§+4.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£206$/b£$br£Tasso di partecipazione: $b£42.4%$/b£ (+5.4%)","SVP"
1216,"Silenen UR","tab_h_it$tr£$td£Centro$/td£tab_r185tab_r2#f39f5etab_r3$td£$b£56.7%$/b£$/td£§+10.2$/td£$/tr£$tr£$td£UDC$/td£tab_r162tab_r2#547d34tab_r3$td£$b£41.6%$/b£$/td£§+3.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£654$/b£$br£Tasso di partecipazione: $b£42.6%$/b£ (+5.7%)","Mitte"
1217,"Sisikon UR","tab_h_it$tr£$td£Centro$/td£tab_r178tab_r2#f39f5etab_r3$td£$b£52.1%$/b£$/td£§+20.6$/td£$/tr£$tr£$td£UDC$/td£tab_r169tab_r2#547d34tab_r3$td£$b£46.3%$/b£$/td£§-4.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£121$/b£$br£Tasso di partecipazione: $b£54.3%$/b£ (+14.8%)","Mitte"
1218,"Spiringen UR","tab_h_it$tr£$td£UDC$/td£tab_r192tab_r2#547d34tab_r3$td£$b£61.6%$/b£$/td£§+15.7$/td£$/tr£$tr£$td£Centro$/td£tab_r157tab_r2#f39f5etab_r3$td£$b£37.9%$/b£$/td£§-10.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£372$/b£$br£Tasso di partecipazione: $b£54.7%$/b£ (+16.9%)","SVP"
1219,"Unterschächen UR","tab_h_it$tr£$td£UDC$/td£tab_r190tab_r2#547d34tab_r3$td£$b£59.8%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Centro$/td£tab_r159tab_r2#f39f5etab_r3$td£$b£39.0%$/b£$/td£§+1.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£356$/b£$br£Tasso di partecipazione: $b£64.0%$/b£ (+15.5%)","SVP"
1220,"Wassen UR","tab_h_it$tr£$td£UDC$/td£tab_r182tab_r2#547d34tab_r3$td£$b£54.4%$/b£$/td£§+5.3$/td£$/tr£$tr£$td£Centro$/td£tab_r164tab_r2#f39f5etab_r3$td£$b£42.4%$/b£$/td£§+5.6$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.2%$/b£$/td£§-1.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£125$/b£$br£Tasso di partecipazione: $b£49.6%$/b£ (+4.1%)","SVP"
1301,"Einsiedeln SZ","Risultato non ancora disponibile.","no_data"
1311,"Gersau SZ","Risultato non ancora disponibile.","no_data"
1321,"Feusisberg SZ","Risultato non ancora disponibile.","no_data"
1322,"Freienbach SZ","Risultato non ancora disponibile.","no_data"
1323,"Wollerau SZ","Risultato non ancora disponibile.","no_data"
1331,"Küssnacht SZ","Risultato non ancora disponibile.","no_data"
1341,"Altendorf SZ","Risultato non ancora disponibile.","no_data"
1342,"Galgenen SZ","Risultato non ancora disponibile.","no_data"
1343,"Innerthal SZ","Risultato non ancora disponibile.","no_data"
1344,"Lachen SZ","Risultato non ancora disponibile.","no_data"
1345,"Reichenburg SZ","Risultato non ancora disponibile.","no_data"
1346,"Schübelbach SZ","Risultato non ancora disponibile.","no_data"
1347,"Tuggen SZ","Risultato non ancora disponibile.","no_data"
1348,"Vorderthal SZ","Risultato non ancora disponibile.","no_data"
1349,"Wangen SZ","Risultato non ancora disponibile.","no_data"
1361,"Alpthal SZ","Risultato non ancora disponibile.","no_data"
1362,"Arth SZ","Risultato non ancora disponibile.","no_data"
1363,"Illgau SZ","Risultato non ancora disponibile.","no_data"
1364,"Ingenbohl SZ","Risultato non ancora disponibile.","no_data"
1365,"Lauerz SZ","Risultato non ancora disponibile.","no_data"
1366,"Morschach SZ","Risultato non ancora disponibile.","no_data"
1367,"Muotathal SZ","Risultato non ancora disponibile.","no_data"
1368,"Oberiberg SZ","Risultato non ancora disponibile.","no_data"
1369,"Riemenstalden SZ","Risultato non ancora disponibile.","no_data"
1370,"Rothenthurm SZ","Risultato non ancora disponibile.","no_data"
1371,"Sattel SZ","Risultato non ancora disponibile.","no_data"
1372,"Svitto SZ","Risultato non ancora disponibile.","no_data"
1373,"Steinen SZ","Risultato non ancora disponibile.","no_data"
1374,"Steinerberg SZ","Risultato non ancora disponibile.","no_data"
1375,"Unteriberg SZ","Risultato non ancora disponibile.","no_data"
1401,"Alpnach OW","tab_h_it$tr£$td£UDC$/td£tab_r181tab_r2#547d34tab_r3$td£$b£53.8%$/b£$/td£§+17.9$/td£$/tr£$tr£$td£PLR$/td£tab_r169tab_r2#6268AFtab_r3$td£$b£46.2%$/b£$/td£§+29.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£2'207$/b£$br£Tasso di partecipazione: $b£52.9%$/b£ (+2.1%)","SVP"
1402,"Engelberg OW","tab_h_it$tr£$td£UDC$/td£tab_r185tab_r2#547d34tab_r3$td£$b£56.6%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r165tab_r2#6268AFtab_r3$td£$b£43.4%$/b£$/td£§+34.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'659$/b£$br£Tasso di partecipazione: $b£62.1%$/b£ (+1.7%)","SVP"
1403,"Giswil OW","tab_h_it$tr£$td£UDC$/td£tab_r183tab_r2#547d34tab_r3$td£$b£55.2%$/b£$/td£§+13.3$/td£$/tr£$tr£$td£PLR$/td£tab_r167tab_r2#6268AFtab_r3$td£$b£44.8%$/b£$/td£§+36.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'659$/b£$br£Tasso di partecipazione: $b£60.1%$/b£ (+9.4%)","SVP"
1404,"Kerns OW","tab_h_it$tr£$td£UDC$/td£tab_r186tab_r2#547d34tab_r3$td£$b£57.6%$/b£$/td£§+16.8$/td£$/tr£$tr£$td£PLR$/td£tab_r164tab_r2#6268AFtab_r3$td£$b£42.4%$/b£$/td£§+26.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£2'700$/b£$br£Tasso di partecipazione: $b£58.4%$/b£ (+3.2%)","SVP"
1405,"Lungern OW","tab_h_it$tr£$td£UDC$/td£tab_r181tab_r2#547d34tab_r3$td£$b£53.8%$/b£$/td£§+23.0$/td£$/tr£$tr£$td£PLR$/td£tab_r169tab_r2#6268AFtab_r3$td£$b£46.2%$/b£$/td£§+40.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'011$/b£$br£Tasso di partecipazione: $b£66.0%$/b£ (+8.0%)","SVP"
1406,"Sachseln OW","tab_h_it$tr£$td£PLR$/td£tab_r180tab_r2#6268AFtab_r3$td£$b£53.2%$/b£$/td£§+41.7$/td£$/tr£$tr£$td£UDC$/td£tab_r170tab_r2#547d34tab_r3$td£$b£46.8%$/b£$/td£§+14.8$/td£$/tr£$/table£$br£Schede elettorali valide: $b£2'234$/b£$br£Tasso di partecipazione: $b£60.0%$/b£ (+5.9%)","FDP"
1407,"Sarnen OW","tab_h_it$tr£$td£PLR$/td£tab_r178tab_r2#6268AFtab_r3$td£$b£52.0%$/b£$/td£§+42.2$/td£$/tr£$tr£$td£UDC$/td£tab_r172tab_r2#547d34tab_r3$td£$b£48.0%$/b£$/td£§+17.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£4'241$/b£$br£Tasso di partecipazione: $b£58.4%$/b£ (+1.5%)","FDP"
1501,"Beckenried NW","tab_h_it$tr£$td£UDC$/td£tab_r163tab_r2#547d34tab_r3$td£$b£41.8%$/b£$/td£§-24.7$/td£$/tr£$tr£$td£Centro$/td£tab_r162tab_r2#f39f5etab_r3$td£$b£41.5%$/b£$/td£§+8.0$/td£$/tr£$tr£$td£PLR$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£16.6%$/b£$/td£§+16.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'502$/b£$br£Tasso di partecipazione: $b£56.3%$/b£ (+6.6%)","SVP"
